0	-nan	-nan	-nan
128	0.104458	0.083178	5.95666e-05
256	0.181381	0.174622	1.17418e-05
384	0.248401	0.248372	-2.31416e-05
512	0.336105	0.315713	-2.87275e-05
640	0.420676	0.384713	4.23158e-05
768	0.524308	0.501914	-0.000157073
896	0.694065	0.624865	-5.90482e-05
1024	0.745916	0.704992	5.10872e-05
1152	0.78449	0.774795	0.000164882
1280	0.85321	0.848734	-0.000104361
1408	0.911702	0.882474	-7.16695e-05
1536	1.03753	1.07462	6.59496e-05
1664	1.06516	1.06168	-6.568e-05
1792	1.05545	1.01059	1.24888e-05
1920	1.06975	1.03749	-2.75368e-05
2048	1.11982	1.10811	0.000156111
2176	1.16317	1.10827	6.54494e-05
2304	1.26215	1.2274	-8.29208e-05
2432	1.3345	1.25487	-3.22634e-05
2560	1.26589	1.2006	-4.18148e-05
2688	1.39789	1.34036	6.042e-05
2816	1.37744	1.36609	4.5336e-05
2944	1.4704	1.48944	1.62862e-05
3072	1.57382	1.61046	-2.93761e-05
3200	1.64928	1.72552	-0.000105196
3328	1.79813	1.92413	-1.13331e-05
3456	1.89114	1.95451	-4.66354e-06
3584	2.00245	2.11409	9.60245e-06
3712	2.03705	2.26343	9.98929e-05
3840	1.97359	2.1908	-4.26081e-05
3968	1.9979	2.20252	-9.45074e-05
4096	2.05035	2.26196	-6.61175e-05
4224	2.15145	2.48865	8.70038e-05
4352	2.26991	2.61152	2.41984e-05
4480	2.37751	2.73914	1.98321e-05
4608	2.45705	2.86516	-6.35316e-05
4736	2.5116	3.06329	5.67847e-05
4864	2.39841	2.98134	6.33138e-05
4992	2.5439	3.18846	-0.000124221
5120	2.7342	3.36209	-8.86057e-05
5248	2.70652	3.2742	-7.03334e-06
5376	2.76696	3.2912	-9.99891e-05
5504	2.79008	3.2031	-3.38007e-05
5632	2.95094	3.4103	-2.556e-05
5760	3.0024	3.38986	2.38166e-05
5888	2.93979	3.35889	-8.19515e-07
6016	3.01651	3.43437	-0.000132864
6144	3.1358	3.6134	7.65164e-05
6272	3.28241	3.75441	5.5037e-05
6400	3.33175	3.78101	-5.16937e-05
6528	3.37878	3.80997	4.37019e-05
6656	3.40624	3.8796	7.30887e-05
6784	3.504	3.903	-4.63693e-05
6912	3.5046	3.92109	5.12774e-05
7040	3.45773	3.92583	-7.75884e-05
7168	3.68448	4.07522	4.19296e-05
7296	3.86788	4.26816	3.97943e-05
7424	3.81432	4.13179	-5.29618e-05
7552	3.80733	4.13182	6.7319e-05
7680	3.82456	4.09684	-5.17771e-05
7808	3.92301	4.11193	2.18293e-05
7936	3.86937	4.14616	0.000118299
8064	3.91363	4.37056	1.13917e-05
8192	4.06206	4.69913	1.46982e-06
8320	4.18201	4.73251	-1.82884e-05
8448	4.35239	4.90962	9.90318e-06
8576	4.48025	5.15793	2.44969e-05
8704	4.42901	5.07071	-4.85726e-05
8832	4.43703	5.01427	-6.80017e-05
8960	4.29508	4.80282	4.63327e-05
9088	4.23753	4.76559	-3.55493e-05
9216	4.40929	4.8176	-0.000101377
9344	4.67846	5.10529	-2.48811e-05
9472	4.83818	5.46102	-1.14247e-05
9600	4.63034	5.00811	5.8067e-05
9728	4.51703	4.82686	9.25037e-05
9856	4.65071	5.06483	-3.33503e-05
9984	4.77561	5.2014	-3.75766e-05
10112	4.65238	5.00424	-2.81573e-05
10240	4.79613	5.15468	1.45876e-05
10368	5.04177	5.49682	-1.82661e-05
10496	5.17273	5.6406	1.12092e-05
10624	5.19365	5.55584	-4.63105e-05
10752	5.28074	5.50534	-4.74236e-05
10880	5.40793	5.54286	9.52817e-05
11008	5.36599	5.57716	3.80643e-05
11136	5.45674	5.80369	-3.54983e-05
11264	5.49525	5.86567	4.42101e-05
11392	5.40745	5.7091	-1.56288e-05
11520	5.50763	5.80087	-8.85487e-05
11648	5.60787	6.053	-1.64108e-05
11776	5.70335	6.20439	-5.72068e-05
11904	5.62083	5.98395	-1.43215e-05
12032	5.72943	6.07501	2.99418e-05
12160	5.83308	6.30856	-7.78055e-05
12288	5.8119	6.45794	6.25188e-05
12416	5.84758	6.37953	9.69611e-05
12544	5.87143	6.41671	-6.50463e-05
12672	5.72148	6.29961	2.65831e-05
12800	5.9121	6.70394	0.000141399
12928	5.98355	6.8727	-0.000135686
13056	6.29634	7.12492	1.42008e-05
13184	6.25186	6.85919	0.000111041
13312	6.29154	7.00771	4.59068e-05
13440	6.33245	6.98923	-1.247e-05
13568	6.4762	7.0702	-2.93024e-05
13696	6.59339	7.08494	0.000127633
13824	6.64896	7.18163	9.45473e-05
13952	6.69069	7.21662	-0.000100514
14080	6.83064	7.38175	3.53061e-05
14208	7.08907	7.58203	-7.19622e-05
14336	7.28413	7.59385	8.05586e-05
14464	7.28872	7.76067	2.57038e-05
14592	7.39912	7.93175	4.45568e-05
14720	7.35105	7.88334	-3.09442e-05
14848	7.35287	7.83792	-6.1868e-05
14976	7.34674	7.68471	-9.1534e-05
15104	7.40717	7.63828	2.76132e-05
15232	7.40387	7.67404	1.98333e-05
15360	7.31285	7.68874	-5.80443e-06
15488	7.35247	7.8535	2.14561e-06
15616	7.13957	7.64963	-0.000120498
15744	7.00543	7.47222	4.10201e-05
15872	7.06236	7.60057	-1.90504e-05
16000	6.88716	7.32992	-0.000122824
16128	6.77258	7.16259	2.30405e-05
16256	6.81891	7.26253	1.45638e-05
16384	6.74067	7.11563	-0.000123246
16512	6.90477	7.30272	0.000116051
16640	7.16944	7.52455	-1.17561e-05
16768	7.2928	7.37008	-5.51211e-05
16896	7.27335	7.28603	8.60065e-06
17024	7.50576	7.46718	-9.70181e-05
17152	7.47686	7.38749	-0.000130196
17280	7.26637	7.18061	-1.91197e-05
17408	7.42169	7.28935	2.75239e-06
17536	7.65503	7.61817	1.94846e-05
17664	7.68536	7.68196	-7.10039e-05
17792	7.53101	7.70108	-1.58703e-05
17920	7.45723	7.4478	5.14095e-05
18048	7.59983	7.56544	0.000126685
18176	7.58169	7.5635	4.83871e-06
18304	7.459	7.38126	-6.65318e-05
18432	7.55809	7.2413	1.74051e-05
18560	7.93441	7.53669	-3.41364e-05
18688	8.02806	7.73756	-5.18234e-05
18816	7.92721	7.79781	9.37172e-06
18944	8.00978	8.05923	4.18708e-05
19072	8.11237	7.99821	0.000109919
19200	8.1046	7.93308	9.55045e-06
19328	8.30629	8.16329	4.66588e-05
19456	8.31611	8.31934	-8.55679e-06
19584	8.60595	8.73984	-7.00811e-05
19712	8.65798	8.80826	9.00262e-05
19840	8.67815	8.8108	6.27638e-05
19968	8.78816	8.78068	7.18339e-05
20096	8.76091	8.82497	7.83714e-05
20224	8.92775	9.03953	9.5756e-05
20352	8.98705	9.01308	-3.66803e-05
20480	8.97025	8.90312	4.71218e-05
20608	9.06136	9.08428	-8.16125e-05
20736	9.0955	9.13521	2.46201e-05
20864	8.92631	9.05378	2.06362e-05
20992	8.8909	9.14993	-8.59904e-05
21120	9.07947	9.37149	0.000159202
21248	9.28449	9.405	9.08292e-05
21376	8.97512	9.14143	-1.02519e-05
21504	8.77288	8.78667	1.25533e-05
21632	8.77973	8.75133	-1.26943e-05
21760	8.64296	8.62866	0.000162297
21888	8.34758	8.25203	-5.49901e-05
22016	8.37151	8.16596	5.48763e-06
22144	8.34462	8.0478	1.47828e-05
22272	8.18427	7.90855	2.99367e-05
22400	8.01889	7.75233	7.92473e-05
22528	7.92972	7.64324	-0.000137545
22656	7.72664	7.27856	-4.01597e-05
22784	7.85006	7.38771	0.000116364
22912	7.97526	7.56037	5.81409e-05
23040	8.069	7.66197	-5.77337e-06
23168	8.25306	7.81513	1.83839e-05
23296	8.32107	7.87814	-3.52226e-05
23424	8.28051	7.88529	-2.10929e-05
23552	8.01746	7.71517	-0.000103646
23680	8.0349	7.6676	-5.17793e-05
23808	7.99329	7.60233	-0.000108118
23936	7.93031	7.51258	8.36631e-05
24064	7.87335	7.39812	0.000114604
24192	7.80797	7.39239	-9.20375e-05
24320	7.69913	7.26921	2.76077e-05
24448	7.79065	7.41215	-1.29411e-05
24576	7.95972	7.60594	6.98229e-05
24704	7.83925	7.56056	-2.11583e-06
24832	7.80602	7.54652	-9.76099e-05
24960	7.77583	7.43042	-2.19792e-05
25088	8.03924	7.67221	7.35401e-05
25216	8.25033	7.80512	-9.29699e-05
25344	8.40999	7.93067	-7.44417e-05
25472	8.39929	7.90104	-3.12808e-05
25600	8.31028	7.84928	-8.56054e-05
25728	8.15284	7.59848	6.99773e-05
25856	8.24423	7.59157	4.44399e-05
25984	8.28584	7.57746	0.000102459
26112	8.2727	7.56177	0.000129184
26240	8.31995	7.81384	1.78658e-05
26368	8.43736	7.96732	-6.74399e-06
26496	8.25082	7.84305	5.93155e-05
26624	8.1453	7.83626	-1.76291e-05
26752	8.25604	7.96207	-5.01599e-07
26880	8.25714	8.03097	2.23868e-05
27008	8.27426	8.12013	-2.88849e-05
27136	8.45986	8.12125	8.07463e-05
27264	8.77887	8.38302	1.76664e-06
27392	8.95472	8.65762	4.92325e-05
27520	8.98812	8.62872	-2.27536e-05
27648	8.90723	8.6809	3.5706e-06
27776	9.01066	8.79196	-1.99606e-05
27904	9.07771	8.89117	0.000115497
28032	9.19371	8.89959	0.000127716
28160	9.27363	9.08058	-2.74323e-05
28288	9.46998	9.14217	-5.28701e-05
28416	9.47596	9.12367	-9.59869e-07
28544	9.66614	9.25276	-0.000109679
28672	9.69627	9.18943	5.04966e-05
28800	10.126	9.6808	7.34872e-05
28928	10.1909	9.61318	6.5653e-05
29056	10.1509	9.64348	-0.000173286
29184	9.96977	9.56589	-5.61954e-05
29312	10.0705	9.54879	1.4265e-05
29440	10.0197	9.5358	6.55095e-05
29568	10.1545	9.53498	4.04474e-05
29696	10.2395	9.61747	-2.99322e-05
29824	10.2501	9.53524	-0.000115984
29952	10.3794	9.69553	8.00856e-06
30080	10.4929	9.69343	-3.26188e-05
30208	10.3836	9.44764	-4.54574e-05
30336	10.2053	9.41211	4.55094e-05
30464	9.89823	9.23927	0.000126242
30592	9.91539	9.47708	-4.26307e-05
30720	10.0161	9.60521	0.000106183
30848	9.98861	9.50747	-4.56367e-05
30976	9.92268	9.26821	1.19059e-07
31104	9.90715	9.07425	2.44298e-05
31232	10.0417	9.15071	-5.75764e-05
31360	10.1871	9.19218	-0.000126696
31488	10.3337	9.52472	3.66628e-05
31616	10.7504	10.0028	-2.06196e-05
31744	10.5761	9.89704	-1.21835e-05
31872	10.3074	9.63345	4.22932e-05
32000	10.3389	9.6632	-6.2e-05
32128	10.482	9.67684	-7.13175e-06
32256	10.7884	9.93764	1.13433e-05
32384	10.7832	9.94582	3.71034e-05
32512	10.6397	9.95022	6.24654e-05
32640	10.509	9.90976	-2.87906e-05
32768	10.5717	10.152	7.72407e-06
32896	10.6635	10.2557	-3.15299e-05
33024	11.0497	10.531	7.8548e-05
33152	11.2458	10.8977	8.99458e-05
33280	11.3761	11.0905	0.000117886
33408	11.4368	11.1047	6.28955e-05
33536	11.4162	11.1964	-9.34758e-05
33664	11.6302	11.1818	-2.78373e-05
33792	11.7558	11.4267	-7.28645e-05
33920	11.5812	11.3185	-7.02083e-07
34048	11.6134	11.3993	-4.19176e-05
34176	11.6599	11.4205	-4.66942e-05
34304	11.5268	11.3461	1.4496e-05
34432	11.6955	11.3944	-0.000124959
34560	11.8689	11.6416	3.16767e-06
34688	12.0972	12.0054	-0.000138935
34816	12.293	12.3868	-0.000138327
34944	12.7203	12.817	-8.79387e-06
35072	12.7743	12.8035	-4.34989e-05
35200	12.792	12.7357	-5.33279e-05
35328	12.7569	12.6564	-9.92054e-06
35456	12.5637	12.5365	-4.54456e-05
35584	12.4588	12.5586	-1.17833e-05
35712	12.4676	12.5074	-1.56691e-05
35840	12.479	12.7215	-1.00662e-05
35968	12.5977	13.202	5.04951e-05
36096	12.6191	13.2043	9.06611e-05
36224	12.7552	13.1509	-3.24348e-06
36352	12.8398	13.4023	2.04744e-05
36480	12.811	13.4167	6.72856e-05
36608	12.7373	13.3479	6.67989e-06
36736	13.1428	13.8977	3.97175e-06
36864	13.2781	13.6794	-4.05616e-05
36992	13.6375	13.9947	8.00633e-05
37120	13.7304	14.0184	4.1358e-05
37248	13.7423	14.088	8.45163e-05
37376	13.7808	14.1275	7.78925e-05
37504	13.5783	13.9279	-0.000144373
37632	13.4677	13.8416	6.88243e-06
37760	13.0569	13.6096	0.000114905
37888	12.7256	13.3018	2.8509e-05
38016	12.9244	13.3432	-7.63339e-05
38144	12.7627	13.0336	-0.000159203
38272	12.6905	12.8421	-0.000117769
38400	12.6178	12.7724	6.28124e-05
38528	12.4797	12.5267	-6.05123e-05
38656	12.307	12.4542	-2.05057e-05
38784	12.167	12.1361	0.000103135
38912	12.2583	12.1029	-0.00013544
39040	12.4587	12.1879	-3.69884e-05
39168	12.4314	12.1961	-2.80123e-05
39296	12.6593	12.1968	2.79326e-05
39424	13.0014	12.4439	-7.44509e-06
39552	13.0531	12.6924	-7.6679e-05
39680	13.1119	12.8019	-1.0767e-05
39808	13.0288	12.6787	4.44676e-05
39936	12.7614	12.3283	8.05823e-05
40064	12.7637	12.1625	-1.00597e-05
40192	12.9861	12.2661	-2.77767e-05
40320	12.9492	12.1082	2.26851e-06
40448	12.9732	12.115	-6.51212e-05
40576	12.9132	12.1996	-8.93173e-06
40704	13.0084	12.2115	6.3039e-06
40832	13.1902	12.1796	-3.85584e-05
40960	13.1585	12.238	-5.70248e-05
41088	12.937	12.1511	3.47578e-05
41216	12.8189	12.0786	6.99518e-05
41344	12.8967	12.2199	3.17836e-05
41472	12.9855	12.2	4.0739e-05
41600	13.1133	12.1782	2.89072e-05
41728	13.1032	12.006	-7.77391e-05
41856	13.1721	12.1373	-7.72012e-05
41984	13.2482	12.3371	4.94877e-05
42112	13.4395	12.4244	7.7111e-05
42240	13.5116	12.506	2.56819e-05
42368	13.5732	12.5261	-9.2307e-05
42496	13.6742	12.5969	-5.65766e-05
42624	13.7949	12.8054	0.00012093
42752	13.8208	12.6953	-7.23419e-06
42880	13.6561	12.6128	2.22876e-05
43008	13.7867	12.9068	-3.1109e-06
43136	14.2335	13.2782	4.13942e-05
43264	14.3917	13.3706	5.14881e-05
43392	14.2746	13.1241	-2.28867e-05
43520	14.2172	13.038	-6.06823e-05
43648	14.3183	13.1946	7.92843e-05
43776	14.3028	13.3561	-5.2953e-05
43904	14.3815	13.2551	-5.10711e-05
44032	14.2919	13.12	-3.02144e-06
44160	14.1559	13.03	8.25724e-05
44288	14.4351	13.3473	0.000109973
44416	14.5136	13.5269	4.03856e-05
44544	14.503	13.5623	-0.000175674
44672	14.5955	13.5121	-1.6043e-05
44800	14.6635	13.5867	4.59367e-05
44928	14.4276	13.6166	-8.53408e-05
45056	14.2245	13.5745	5.67026e-06
45184	14.1302	13.5181	7.99033e-05
45312	13.9824	13.3748	-2.23556e-05
45440	14.1559	13.4447	-5.23043e-05
45568	14.2972	13.4864	2.03994e-05
45696	14.1809	13.2634	-0.000116004
45824	13.8165	13.0016	-1.20316e-05
45952	13.8721	13.2685	5.95728e-05
46080	14.2083	13.5433	-8.52433e-05
46208	14.1262	13.6236	-4.36613e-05
46336	13.7197	13.2812	-8.40315e-05
46464	13.7547	13.323	2.09529e-05
46592	13.7847	13.2314	-2.86158e-05
46720	13.5904	13.0963	2.13075e-05
46848	13.274	12.7702	5.05504e-05
46976	13.2827	12.7534	5.46424e-05
47104	13.1486	12.5783	4.40423e-05
47232	13.1054	12.498	9.12348e-05
47360	13.2769	12.7081	-2.53461e-05
47488	13.3945	12.9169	4.53756e-05
47616	13.2914	12.8834	-1.31157e-05
47744	13.152	12.7288	-1.98237e-05
47872	13.0019	12.6628	7.49842e-05
48000	12.9517	12.6351	-0.000115704
48128	13.0186	12.7246	4.36821e-06
48256	13.273	12.9965	8.60819e-05
48384	13.4196	13.1745	0.000121497
48512	13.6066	13.4143	0.000118114
48640	13.7207	13.6439	-2.31239e-06
48768	13.6682	13.4868	-2.68529e-05
48896	13.6516	13.5227	7.7293e-06
49024	13.7632	13.5139	-9.78896e-05
49152	13.783	13.455	-1.01265e-05
49280	13.9328	13.595	-1.23523e-05
49408	13.9295	13.5339	-6.33274e-05
49536	13.6162	13.2792	-5.06166e-05
49664	13.7444	13.3394	3.14163e-05
49792	13.7912	13.4757	-4.22226e-06
49920	13.9425	13.5141	0.000108916
50048	13.9804	13.6567	-7.43623e-05
50176	13.9211	13.6552	-3.18728e-05
50304	14.139	13.8247	6.70402e-05
50432	14.3097	13.9822	-5.66923e-05
50560	14.2117	13.7892	-0.000204512
50688	14.0251	13.421	-5.18372e-05
50816	13.751	13.1242	9.88038e-05
50944	13.4416	12.8884	0.000107414
51072	13.4703	12.6923	-0.000182922
51200	13.6358	12.856	-2.36953e-05
51328	13.7649	12.9832	-1.82782e-05
51456	13.8482	13.1063	-3.02576e-05
51584	13.5982	12.8722	-2.99351e-06
51712	13.6009	12.8648	-3.84094e-05
51840	13.9124	13.1086	4.96434e-05
51968	13.9334	12.9728	0.000114037
52096	14.0026	12.9757	-4.80599e-05
52224	14.2038	13.2974	2.96353e-05
52352	14.0203	13.1505	-2.20477e-05
52480	13.7858	12.96	0.000125774
52608	13.9064	12.9644	-1.00015e-05
52736	13.8699	12.8558	-7.31769e-05
52864	13.914	12.9372	-5.68238e-05
52992	14.0071	12.9642	-0.000134739
53120	14.2542	13.2215	-1.29646e-05
53248	14.4431	13.4366	-6.75365e-05
53376	14.738	13.6819	3.49544e-05
53504	14.8537	13.6869	9.08478e-05
53632	14.6989	13.5636	1.62286e-05
53760	14.853	13.6537	5.79726e-05
53888	14.5125	13.41	3.62277e-05
54016	14.18	13.2529	7.05221e-05
54144	14.1929	13.3569	1.53473e-05
54272	14.5337	13.5475	-2.59961e-06
54400	14.5841	13.5256	7.50331e-05
54528	14.7611	13.814	0.000142075
54656	14.763	13.8181	0.000159595
54784	14.8822	13.9781	2.61945e-05
54912	14.7249	13.8009	-3.30441e-05
55040	14.913	14.0206	-4.45555e-05
55168	14.8828	14.0393	7.85356e-07
55296	14.8282	14.067	-4.27419e-06
55424	14.7227	13.777	-0.000129066
55552	14.7172	13.6653	-5.58299e-05
