0	-nan	-nan	-nan
128	0.0192906	0.0262879	-1.17249e-07
256	0.0528678	0.0643776	-6.37331e-06
384	0.0795264	0.0864704	2.49634e-05
512	0.107453	0.109129	-2.04794e-05
640	0.134172	0.154492	-2.72518e-06
768	0.14025	0.155446	-5.7131e-06
896	0.16128	0.17469	-3.66778e-06
1024	0.178425	0.184541	-1.2453e-05
1152	0.19853	0.200536	-2.194e-06
1280	0.222914	0.215419	1.86926e-05
1408	0.240261	0.248671	-1.42405e-06
1536	0.242855	0.280693	1.23924e-05
1664	0.274398	0.331558	-2.44834e-06
1792	0.296906	0.383957	-2.17292e-06
1920	0.309587	0.374252	9.18696e-06
2048	0.307121	0.349527	5.86565e-06
2176	0.319843	0.380197	7.71665e-06
2304	0.350262	0.41015	-9.76213e-06
2432	0.384108	0.463926	-1.57666e-05
2560	0.416421	0.509252	1.62181e-06
2688	0.414571	0.48834	-3.64105e-06
2816	0.438919	0.500544	1.42211e-05
2944	0.445124	0.492977	-9.25151e-06
3072	0.453522	0.477549	8.50374e-06
3200	0.446154	0.456032	2.10361e-06
3328	0.465882	0.480607	1.04475e-05
3456	0.53697	0.544012	5.01957e-06
3584	0.583302	0.580744	3.28498e-06
3712	0.594777	0.585188	-9.56339e-06
3840	0.601105	0.590509	-8.18666e-06
3968	0.609307	0.621925	1.66995e-05
4096	0.651964	0.680942	1.09574e-05
4224	0.724804	0.771752	1.03646e-05
4352	0.765861	0.826655	-4.4027e-06
4480	0.793104	0.81353	-4.45502e-06
4608	0.823229	0.814769	2.57032e-06
4736	0.855306	0.877542	2.31914e-06
4864	0.880418	0.913457	2.98014e-07
4992	0.910418	0.980672	-2.85079e-06
5120	0.962316	1.04299	-4.88252e-06
5248	0.977355	1.07183	-6.84142e-06
5376	0.977985	1.09283	-9.53256e-07
5504	0.975526	1.08192	-1.50402e-05
5632	1.00048	1.12489	-2.85496e-05
5760	1.00027	1.11644	-6.13589e-06
5888	0.99668	1.13352	-6.55352e-06
6016	1.03114	1.17867	-1.16839e-05
6144	1.01975	1.16398	5.73241e-06
6272	1.02847	1.15935	1.05246e-05
6400	0.989048	1.08278	-1.39472e-06
6528	0.998219	1.06828	-6.17782e-06
6656	0.98543	1.08571	1.59703e-05
6784	0.929152	1.01858	-8.43426e-06
6912	0.859794	0.907469	-6.99223e-06
7040	0.87452	0.892893	-1.64793e-05
7168	0.862625	0.877686	-7.99467e-06
