0	-nan	-nan	-nan
128	0.0235785	0.0311855	4.53353e-05
256	0.0817247	0.109434	2.458e-05
384	0.144246	0.20328	7.93546e-06
512	0.210465	0.306386	1.76175e-06
640	0.291936	0.403715	1.59223e-05
768	0.407447	0.540888	2.81584e-06
896	0.518428	0.665679	6.5873e-06
1024	0.628473	0.7829	8.56052e-06
1152	0.753774	0.923788	2.52076e-05
1280	0.8813	1.05053	1.2004e-05
1408	0.97904	1.14811	1.02565e-05
1536	1.0324	1.19421	1.54528e-05
1664	1.13843	1.34468	1.95795e-05
1792	1.27644	1.48909	7.12841e-06
1920	1.43199	1.67764	1.04617e-05
2048	1.5676	1.83561	-1.44149e-06
2176	1.67392	1.95014	-6.30833e-06
2304	1.78261	2.083	9.40518e-07
2432	1.86688	2.21569	-1.70017e-06
2560	1.99006	2.40741	6.52433e-06
2688	2.11655	2.59136	3.0787e-06
2816	2.2354	2.70034	-1.38734e-06
2944	2.35832	2.82167	9.97292e-06
3072	2.46526	2.98674	1.35979e-05
3200	2.53052	3.09304	-2.5864e-06
3328	2.53168	3.09811	3.61896e-06
3456	2.55544	3.12344	1.90873e-06
3584	2.57853	3.21724	1.85378e-06
3712	2.62881	3.29778	2.24497e-06
3840	2.72129	3.41263	-2.78993e-06
3968	2.78909	3.501	4.92451e-06
4096	2.85229	3.68353	-4.60615e-06
4224	2.89511	3.83202	-7.08672e-06
4352	2.93123	3.93523	-7.94353e-06
4480	2.91325	3.90125	-1.4078e-05
4608	2.9094	3.86808	-1.94826e-05
4736	2.98655	3.93715	-2.06686e-05
4864	3.06071	3.98134	-1.57771e-05
4992	3.17019	4.0856	-1.18166e-05
5120	3.24531	4.08094	-1.41309e-05
5248	3.28855	4.08412	-1.7979e-05
5376	3.37557	4.12781	-1.98295e-05
5504	3.35069	3.92958	-9.98704e-06
5632	3.28983	3.75774	-1.50156e-05
5760	3.27346	3.70372	-1.06349e-05
5888	3.3056	3.71158	-7.88153e-06
6016	3.37075	3.72309	1.90477e-06
6144	3.43274	3.79586	-6.55926e-06
6272	3.49546	3.81892	7.35782e-06
6400	3.60038	3.9377	-7.69625e-06
6528	3.753	4.13368	9.50693e-06
6656	3.82412	4.22378	1.18327e-05
6784	3.92065	4.35354	-3.74933e-06
6912	4.03429	4.49939	2.29772e-06
7040	4.13372	4.65899	1.60486e-05
7168	4.18457	4.74189	1.30339e-05
7296	4.18752	4.74707	-3.28254e-06
7424	4.13332	4.64236	-9.29022e-06
7552	4.10448	4.60508	-7.75415e-06
7680	4.07093	4.58197	2.19761e-08
7808	4.0581	4.56995	4.74774e-06
7936	4.12026	4.71546	1.21199e-06
8064	4.19082	4.8779	-1.73039e-07
8192	4.27552	4.99485	1.02273e-05
8320	4.39128	5.11375	3.88034e-06
8448	4.59545	5.3262	-5.63739e-07
8576	4.79437	5.57925	8.48745e-06
8704	5.01798	5.85735	1.28997e-05
