0	-nan	-nan	-nan
128	0.0267948	0.0218008	1.79007e-05
256	0.0594796	0.0529233	-9.74339e-06
384	0.0931095	0.084814	2.73013e-07
512	0.124043	0.114809	4.38941e-07
640	0.153732	0.140425	5.02219e-06
768	0.174505	0.164096	-4.02712e-06
896	0.191242	0.180992	6.7377e-06
1024	0.209133	0.199371	-1.90941e-06
1152	0.246354	0.2332	-3.76861e-06
1280	0.274702	0.270222	-1.3378e-05
1408	0.290725	0.295092	8.13829e-07
1536	0.307501	0.315331	6.37859e-06
1664	0.322238	0.329043	6.03995e-06
1792	0.334406	0.341845	8.80978e-06
1920	0.346693	0.357415	-3.45638e-06
2048	0.367125	0.371853	-1.29141e-07
2176	0.38966	0.402877	9.55588e-06
2304	0.40863	0.433213	1.01564e-05
2432	0.426424	0.478336	-2.79631e-05
2560	0.459977	0.499979	-1.37912e-05
2688	0.486901	0.51693	-1.20709e-05
2816	0.503204	0.536654	-1.0756e-05
2944	0.513939	0.53665	1.14198e-05
3072	0.535537	0.547871	-2.13631e-05
3200	0.552656	0.562718	-1.17753e-05
3328	0.57667	0.580821	-1.17402e-05
3456	0.605191	0.608264	-1.71303e-05
3584	0.634788	0.628254	-5.96164e-06
3712	0.649488	0.627244	1.14819e-05
3840	0.671962	0.644655	-2.00103e-05
3968	0.691489	0.660953	8.04265e-06
4096	0.699959	0.670758	9.63252e-06
4224	0.735784	0.70407	1.27867e-06
4352	0.764786	0.741963	7.85518e-06
4480	0.783799	0.768199	8.87715e-06
4608	0.792832	0.780099	-2.69422e-05
4736	0.803657	0.796185	-1.08004e-06
4864	0.803439	0.796599	1.36071e-05
4992	0.842718	0.839571	-2.98113e-06
5120	0.872242	0.874623	-5.53719e-06
5248	0.900888	0.899653	1.94963e-06
5376	0.915268	0.905872	-2.54352e-06
5504	0.942207	0.912808	-1.35609e-05
5632	0.988646	0.939784	-7.94825e-06
5760	1.01757	0.962071	1.3402e-05
5888	1.03454	0.983329	-3.34964e-06
6016	1.06393	1.01121	9.16988e-06
6144	1.08408	1.03721	-3.70652e-06
6272	1.11863	1.07145	-2.80125e-06
6400	1.15497	1.10886	6.06683e-06
6528	1.17449	1.1219	-3.2805e-06
6656	1.16322	1.10498	-1.47272e-05
6784	1.16694	1.11491	-6.93856e-06
6912	1.16918	1.11023	1.63054e-05
7040	1.177	1.13633	1.46069e-05
7168	1.18183	1.14497	1.58688e-05
7296	1.20316	1.15739	3.29632e-06
7424	1.20691	1.16621	1.93366e-05
7552	1.22758	1.2044	1.06149e-05
7680	1.2452	1.22501	1.76231e-05
7808	1.2768	1.25973	-8.15259e-06
7936	1.30688	1.29794	-5.97951e-06
8064	1.30065	1.27216	2.47345e-05
8192	1.29062	1.262	-3.19783e-06
8320	1.30423	1.28358	-1.30933e-05
