0	-nan	-nan	-nan
128	0.0121665	0.0139891	8.46392e-06
256	0.0277677	0.0314863	-4.69022e-06
384	0.04387	0.0526433	1.70565e-05
512	0.069141	0.0970924	-8.52992e-06
640	0.0990396	0.137087	-8.42551e-06
768	0.110818	0.142039	-3.73307e-06
896	0.123741	0.151751	-1.15632e-05
1024	0.127692	0.161877	-1.43515e-06
1152	0.1593	0.198886	-5.60138e-06
1280	0.178185	0.221028	-2.2348e-06
1408	0.203886	0.2703	1.93038e-06
1536	0.223571	0.314368	1.44406e-05
1664	0.228734	0.312066	1.30822e-06
1792	0.234406	0.28993	4.10824e-06
1920	0.269443	0.341765	-1.31653e-06
2048	0.310777	0.3948	6.64659e-06
2176	0.324128	0.404886	-1.06354e-06
2304	0.314907	0.384203	-9.43926e-06
2432	0.315223	0.362444	7.65495e-06
2560	0.351569	0.391644	4.0107e-07
2688	0.368097	0.415311	7.8983e-06
2816	0.370444	0.429446	-7.4984e-06
2944	0.357056	0.401861	-1.36496e-05
3072	0.363807	0.388581	3.61364e-06
3200	0.388556	0.422544	6.70564e-06
3328	0.397154	0.449686	5.43319e-06
3456	0.41562	0.460451	8.30695e-06
3584	0.425837	0.458704	-1.40291e-05
3712	0.456038	0.497161	1.59119e-06
3840	0.463579	0.486588	-4.35157e-06
3968	0.495824	0.525478	-6.92779e-06
4096	0.522749	0.567308	2.19901e-05
4224	0.524051	0.560947	-1.48723e-06
4352	0.573778	0.618543	7.41982e-06
4480	0.602397	0.659917	-6.80503e-06
4608	0.615875	0.693504	5.36011e-06
4736	0.665741	0.754862	-1.19529e-06
4864	0.696255	0.780547	9.35385e-06
4992	0.703009	0.781255	-1.09053e-05
5120	0.689492	0.775881	-6.62899e-06
5248	0.703475	0.822552	8.74752e-06
5376	0.706337	0.851023	-6.04548e-06
5504	0.690457	0.818241	-3.14802e-06
5632	0.680974	0.790251	-1.33485e-05
5760	0.7176	0.830398	-6.11921e-06
5888	0.74886	0.869206	3.20175e-06
6016	0.790846	0.984885	-1.16687e-05
6144	0.767657	0.951255	3.18908e-06
6272	0.808432	1.01479	8.86058e-06
6400	0.820692	1.01639	1.16777e-06
6528	0.8314	1.00398	-1.2326e-05
6656	0.833066	0.972408	-7.24773e-06
6784	0.858997	0.986117	8.05329e-06
6912	0.821621	0.906753	3.96044e-06
7040	0.818121	0.877738	-1.56538e-07
7168	0.831473	0.847799	-1.8086e-05
7296	0.858431	0.843332	-2.58516e-06
7424	0.863893	0.84063	4.49132e-06
7552	0.862037	0.845174	8.53381e-06
7680	0.856926	0.839261	-1.20521e-05
7808	0.848985	0.82877	-1.07682e-06
7936	0.847813	0.811093	-1.55216e-06
8064	0.833651	0.790768	-3.5613e-06
8192	0.805209	0.781749	-2.14835e-06
8320	0.798719	0.800387	4.81647e-06
8448	0.825907	0.852182	-3.59061e-06
8576	0.822556	0.879099	-9.77581e-06
8704	0.815051	0.86656	5.27038e-06
8832	0.792098	0.821692	-9.07761e-06
8960	0.803482	0.813717	2.3767e-06
9088	0.823461	0.844968	6.40949e-07
9216	0.837773	0.877289	-8.21114e-07
9344	0.850262	0.941301	1.26546e-05
9472	0.872748	0.959261	6.49287e-06
9600	0.883876	0.97694	5.25278e-06
9728	0.914194	1.02851	8.1729e-06
9856	0.903578	1.0136	-3.03178e-06
9984	0.880597	0.972983	1.16767e-05
10112	0.875477	0.972063	7.77827e-06
10240	0.879249	1.02989	8.56293e-06
10368	0.877469	1.04645	7.91221e-06
10496	0.932427	1.10463	3.17513e-06
10624	0.943338	1.11913	9.54033e-06
10752	0.941445	1.1245	6.47588e-06
10880	0.942631	1.12282	7.35701e-06
11008	0.962301	1.14523	4.70071e-06
11136	0.989799	1.15456	3.60525e-06
11264	0.977221	1.1117	-1.94356e-07
11392	0.988377	1.1098	9.13456e-06
11520	1.02943	1.16188	-5.19317e-06
11648	1.06969	1.17291	-3.26118e-06
11776	1.08768	1.17858	-4.42773e-06
11904	1.10455	1.17027	-6.26279e-06
12032	1.13243	1.18591	-5.48753e-06
12160	1.12705	1.1364	-2.25937e-06
12288	1.07218	1.04875	-5.63446e-06
12416	1.05185	0.997801	4.82445e-06
12544	1.04745	0.983381	2.12643e-06
12672	1.05261	0.993039	-5.76714e-06
12800	1.02681	0.964102	-1.42472e-05
12928	1.0076	0.946277	-8.75225e-06
13056	1.01774	0.990992	6.8426e-06
13184	1.04106	1.0271	1.00483e-05
13312	1.03433	1.02024	1.08667e-05
13440	1.07429	1.07542	-1.33692e-05
13568	1.06391	1.06094	-7.54497e-06
13696	1.04954	1.02866	-2.97035e-06
13824	1.0819	1.03438	5.86286e-06
13952	1.11476	1.0741	1.80875e-06
14080	1.16545	1.1362	-1.2051e-05
14208	1.16398	1.14368	1.32652e-05
14336	1.19255	1.2146	7.27725e-06
14464	1.17894	1.20585	3.13788e-06
14592	1.18502	1.21412	-2.5642e-06
14720	1.17911	1.19053	1.05762e-05
