0	-nan	-nan	-nan
128	0.000532574	0.000615884	-4.05714e-06
256	0.000843141	0.00102436	-3.35992e-06
384	0.00108216	0.0013498	-5.75044e-07
512	0.00126349	0.00161899	1.27493e-06
640	0.00141891	0.00185407	2.5056e-06
768	0.0015917	0.00209833	4.12945e-06
896	0.00172103	0.00227499	2.27209e-07
1024	0.00185911	0.00241676	1.3267e-06
1152	0.00199303	0.00268987	-2.61106e-07
1280	0.00211541	0.00292562	1.97796e-06
1408	0.00221392	0.00311435	-3.2288e-06
1536	0.00229271	0.00316135	-2.71916e-07
1664	0.00238522	0.00330857	2.66652e-06
1792	0.00243663	0.00335478	1.62572e-06
1920	0.0025483	0.00349238	1.42933e-06
2048	0.0026154	0.00362537	-1.80053e-06
2176	0.00270142	0.00377718	-5.69627e-07
2304	0.00277885	0.00394225	-1.37627e-06
2432	0.00287222	0.00413306	-5.8581e-07
2560	0.00291589	0.00424505	1.90711e-06
2688	0.00303953	0.00442	-5.0534e-07
2816	0.00310337	0.00451989	-2.38179e-06
2944	0.00316326	0.00458779	2.22175e-06
3072	0.00320174	0.00465879	5.72393e-07
3200	0.00326371	0.00476589	1.19536e-06
3328	0.00326458	0.00483761	9.39657e-07
3456	0.00331631	0.00495936	-7.08497e-07
3584	0.00337722	0.00498097	-2.19036e-06
3712	0.00344399	0.00511356	9.90893e-07
3840	0.0034878	0.00516356	-1.2988e-06
3968	0.00355591	0.00527923	5.16137e-06
4096	0.00356038	0.00527715	-5.62638e-08
4224	0.00359526	0.0052909	-8.98527e-07
4352	0.00364825	0.00539949	2.44092e-06
4480	0.00367288	0.0054259	-4.22122e-06
4608	0.00373077	0.00556194	2.94954e-06
4736	0.00376254	0.00564441	6.31566e-07
4864	0.00379393	0.00565306	2.08752e-06
4992	0.00382861	0.00571644	-3.4388e-06
5120	0.00385721	0.00580703	2.62067e-06
5248	0.00387581	0.00588829	-1.08769e-06
5376	0.0039413	0.0059031	2.51272e-06
5504	0.00397267	0.0059813	-6.64693e-08
5632	0.00400087	0.0059637	-1.03755e-06
5760	0.0040357	0.00604796	-3.73879e-07
5888	0.00408832	0.00613774	-2.47481e-06
6016	0.00415624	0.00626796	-1.69051e-06
6144	0.00416102	0.00631576	-1.17466e-06
6272	0.00419374	0.00645058	-3.29241e-06
6400	0.00424096	0.00653548	2.01735e-07
6528	0.00426032	0.0065258	-2.26535e-06
6656	0.00427888	0.00652407	1.59615e-06
6784	0.00430801	0.00648875	2.10032e-06
6912	0.00436671	0.0066464	-1.72533e-06
7040	0.00442371	0.00666649	6.91598e-06
7168	0.00449894	0.00680079	5.17214e-06
7296	0.00451899	0.00674411	3.91312e-06
7424	0.00452156	0.00671272	1.14828e-06
7552	0.00452972	0.00668843	1.15388e-07
7680	0.00453948	0.00678078	2.92335e-07
7808	0.00454598	0.00675085	2.41216e-06
7936	0.00459661	0.0068243	-1.23577e-06
8064	0.00458838	0.0067867	-7.51742e-07
8192	0.00460882	0.00683463	1.1557e-06
8320	0.00463644	0.00694714	9.07638e-07
8448	0.00467937	0.00699007	5.69342e-07
8576	0.00470065	0.00707619	-4.96039e-06
8704	0.00469778	0.00701992	-9.32898e-07
8832	0.00475073	0.0071473	7.69705e-07
8960	0.00479314	0.0072261	-1.11077e-07
9088	0.00480855	0.00721622	1.95991e-06
9216	0.00484822	0.00720545	1.71339e-07
9344	0.00485563	0.00720803	-1.00494e-06
9472	0.00488347	0.00727728	-2.75836e-06
9600	0.00492279	0.00730366	-1.43501e-06
9728	0.0049557	0.00738279	1.16516e-07
9856	0.00500355	0.00744628	-5.35732e-07
9984	0.00505622	0.00741541	-3.5061e-06
10112	0.005074	0.00747594	-1.01575e-06
10240	0.00509567	0.00750343	1.70162e-06
10368	0.00513875	0.00754275	3.27074e-06
10496	0.00517443	0.00754901	-6.2467e-07
10624	0.00519183	0.00755007	-2.11692e-06
10752	0.0052153	0.00757203	-2.92058e-06
10880	0.0052388	0.0076625	3.43133e-06
11008	0.00525328	0.00764368	2.7095e-06
11136	0.00524779	0.00760682	-1.62188e-06
11264	0.00522154	0.00758105	1.71125e-06
11392	0.00520712	0.00757533	-2.25639e-07
11520	0.00523113	0.00750421	3.63555e-06
11648	0.00529102	0.00761356	-1.88144e-06
11776	0.0053062	0.00760872	1.74577e-06
11904	0.00529416	0.00765489	-1.10285e-06
12032	0.0053242	0.00763508	2.0092e-06
12160	0.00529844	0.0076784	-1.00499e-06
12288	0.00532648	0.0077192	-2.98335e-06
12416	0.00531048	0.00779495	9.01603e-07
12544	0.00533024	0.00780498	-2.00166e-06
12672	0.00531986	0.00786274	1.00122e-06
12800	0.00534359	0.00788553	-1.51916e-07
12928	0.00538141	0.00792624	8.40365e-07
