0	-nan	-nan	-nan
128	0.0266281	0.0293601	6.08271e-06
256	0.0350996	0.0390989	-0.000185888
384	0.0406723	0.0451227	0.000520521
512	0.0459196	0.0517342	5.67266e-05
640	0.0492323	0.0553211	-0.00012486
768	0.0524198	0.0595175	0.000287168
896	0.0555514	0.063178	9.64627e-06
1024	0.0574305	0.0664211	-0.000121773
1152	0.0594509	0.0684388	-0.000319446
1280	0.0621087	0.0703943	0.000292125
1408	0.0625917	0.071135	-1.52943e-05
1536	0.0643487	0.0756115	-0.000444391
1664	0.0665377	0.0769714	-0.00010666
1792	0.0684539	0.0793943	0.000690452
1920	0.0690664	0.0799109	0.000126052
2048	0.0708856	0.0827212	-0.000307516
2176	0.0721951	0.0836983	-0.000108263
2304	0.0738276	0.0864169	6.11644e-05
2432	0.0751016	0.0874344	-0.00067984
2560	0.0760169	0.0884334	-0.000107602
2688	0.0765498	0.0894637	0.000225759
2816	0.0771747	0.0890313	-8.31856e-05
2944	0.0763429	0.0873134	-4.17371e-05
3072	0.0770207	0.0897738	4.27912e-05
3200	0.0770609	0.089115	-0.000115244
3328	0.0777641	0.0911174	0.000125253
3456	0.079488	0.0943555	-8.99049e-06
3584	0.0799098	0.0944724	0.000195888
3712	0.0800176	0.0939141	7.67642e-05
3840	0.0803414	0.093898	3.70967e-05
3968	0.0805033	0.0936538	-6.44655e-05
4096	0.0820243	0.0948704	-7.37799e-05
4224	0.0818733	0.0933944	-1.10355e-05
4352	0.0824518	0.095652	-0.000263885
4480	0.0831808	0.0952274	0.000124277
4608	0.0836062	0.0976153	-0.00024252
4736	0.0846862	0.0973668	-0.000138927
4864	0.0850705	0.095312	-1.92531e-05
4992	0.0862656	0.0992824	0.000122088
5120	0.0871232	0.0974929	0.00018664
5248	0.0878377	0.0987921	-0.000308541
5376	0.0885703	0.0991831	-0.000132113
5504	0.0882946	0.100283	0.000363571
5632	0.089838	0.0995886	-2.65628e-05
5760	0.0892207	0.101205	0.000128142
5888	0.0888071	0.10299	3.75365e-05
6016	0.0884864	0.102668	-0.000713441
6144	0.0897662	0.101955	-0.000244465
6272	0.0908705	0.105176	-0.000145942
6400	0.0901784	0.103076	0.000179851
6528	0.0898004	0.102857	-5.31733e-05
6656	0.0906171	0.103706	-0.00016436
6784	0.0920814	0.105143	-9.05237e-05
6912	0.0924805	0.107834	-0.000176213
7040	0.0925985	0.106235	0.00020664
7168	0.0930605	0.106095	-1.93858e-05
7296	0.0935379	0.108245	-0.000238071
7424	0.0927267	0.107946	-0.00010039
7552	0.0914154	0.108733	-0.000260226
7680	0.0933138	0.110353	-5.47657e-05
7808	0.0939431	0.11286	-3.33421e-05
7936	0.0931182	0.111809	-0.000214425
8064	0.0935543	0.109538	-0.000159384
8192	0.0932834	0.110113	-0.000163377
8320	0.0947999	0.111695	-0.000320745
8448	0.0942052	0.109056	-0.000426645
8576	0.0939459	0.10912	1.46907e-05
8704	0.0934483	0.109379	6.10937e-05
8832	0.0933545	0.111392	0.000226742
8960	0.0942348	0.113366	-0.000120622
9088	0.0967262	0.113205	0.000363883
9216	0.0976663	0.115752	-3.08743e-05
9344	0.097892	0.114582	-0.000291476
9472	0.098364	0.116324	0.000429291
9600	0.0974276	0.115763	5.93366e-05
9728	0.0989472	0.116647	-5.74875e-05
9856	0.0994557	0.117553	0.000141849
9984	0.0989363	0.118643	-0.000152771
10112	0.0996846	0.118802	-0.000114472
10240	0.0997963	0.118262	0.000198113
10368	0.0996066	0.117532	1.50427e-05
10496	0.101298	0.120136	0.000301468
10624	0.100498	0.118911	9.43474e-05
10752	0.101569	0.119405	-9.49315e-05
10880	0.103386	0.121167	-9.3667e-05
11008	0.102433	0.121388	0.00019089
11136	0.102752	0.120845	-0.000136607
11264	0.103633	0.123329	0.000273239
11392	0.103938	0.122003	0.000431679
11520	0.104837	0.12353	-0.000227428
11648	0.105481	0.124074	-0.000192403
11776	0.10476	0.12221	0.00027168
11904	0.105053	0.122687	-0.00030597
12032	0.105805	0.123624	0.000250218
