0	-nan	-nan	-nan
128	0.011851	0.0138744	1.75217e-05
256	0.0350606	0.0406229	8.78939e-06
384	0.0658536	0.0785532	9.46884e-06
512	0.101807	0.128228	5.44355e-06
640	0.125422	0.1565	3.79803e-06
768	0.150248	0.188122	2.9041e-06
896	0.179395	0.229433	4.60938e-08
1024	0.219327	0.28059	-4.06123e-07
1152	0.259052	0.338218	-5.33718e-06
1280	0.294195	0.386024	-2.54122e-06
1408	0.324316	0.418881	-7.20168e-06
1536	0.351068	0.446531	-8.72854e-06
1664	0.372065	0.468152	-5.55693e-06
1792	0.399076	0.479828	-5.65469e-06
1920	0.430858	0.528671	-1.71628e-06
2048	0.448412	0.538929	-3.19812e-06
2176	0.484312	0.564985	-5.5399e-06
2304	0.519501	0.582533	-2.17203e-06
2432	0.56285	0.625083	-1.05225e-06
2560	0.616996	0.672223	2.58595e-06
2688	0.658099	0.722079	-1.71297e-06
2816	0.684567	0.767156	1.92506e-06
2944	0.711248	0.81	1.49984e-06
3072	0.729954	0.857617	3.64727e-06
3200	0.757134	0.910903	-1.41362e-06
3328	0.796125	0.956998	-4.39565e-06
3456	0.846279	0.984537	-6.25337e-07
3584	0.888033	0.969929	4.95388e-06
3712	0.924456	0.960397	7.27073e-07
3840	0.986011	0.998667	-4.40597e-06
3968	1.04785	1.06564	-2.26427e-06
4096	1.11185	1.14306	-3.01496e-06
4224	1.19342	1.24479	-4.70745e-06
4352	1.26444	1.35771	-1.20141e-06
4480	1.30833	1.42882	5.60641e-06
4608	1.35261	1.486	4.27608e-06
4736	1.4267	1.57658	-1.10616e-06
4864	1.48997	1.64673	2.10522e-06
4992	1.57319	1.74804	5.11522e-06
5120	1.64515	1.84048	3.99127e-06
5248	1.68915	1.87994	4.93025e-06
5376	1.70591	1.88337	5.54219e-06
5504	1.73648	1.90712	5.08424e-06
5632	1.73654	1.88068	3.15982e-06
5760	1.75426	1.88112	-4.9135e-06
5888	1.77083	1.8879	-3.02212e-06
6016	1.78777	1.88801	-2.57209e-06
6144	1.79857	1.87995	5.47422e-07
6272	1.85721	1.92561	-2.73137e-07
6400	1.97252	2.03595	1.02962e-06
6528	2.06278	2.14343	2.62442e-06
6656	2.14147	2.24341	9.55949e-06
6784	2.18587	2.28714	3.81343e-06
6912	2.18966	2.31052	-1.65252e-06
7040	2.2083	2.3143	-5.53177e-06
7168	2.24247	2.33952	-1.77335e-07
7296	2.27841	2.35696	-2.95456e-06
7424	2.30477	2.32702	-4.22997e-06
7552	2.33351	2.31172	-2.92319e-06
7680	2.39304	2.33944	-4.15292e-06
7808	2.42349	2.35966	1.09781e-06
7936	2.44904	2.39092	1.35704e-06
8064	2.5184	2.45945	1.88444e-06
8192	2.62103	2.54263	1.38621e-06
8320	2.71418	2.6165	6.7025e-07
8448	2.77607	2.66998	-7.01926e-06
8576	2.86679	2.7583	3.79849e-07
8704	2.97391	2.8736	5.63747e-06
8832	3.05146	2.94741	1.10499e-06
8960	3.09733	3.01987	-1.88887e-06
9088	3.15052	3.10281	-3.6208e-06
9216	3.24637	3.25041	4.15005e-07
9344	3.36613	3.42073	-1.73524e-06
9472	3.41701	3.4898	-2.59869e-06
9600	3.46417	3.51241	6.70188e-07
9728	3.50177	3.57024	3.15592e-06
9856	3.5234	3.62113	6.20298e-06
9984	3.53627	3.62179	1.81067e-06
10112	3.51075	3.58061	-6.26572e-07
10240	3.50262	3.60255	4.55566e-06
10368	3.56596	3.67783	2.08338e-06
10496	3.59332	3.68887	-4.0331e-07
10624	3.57476	3.65481	1.2246e-06
10752	3.56706	3.6683	-2.15974e-06
10880	3.56153	3.72362	-3.84947e-07
11008	3.57106	3.81428	-3.10172e-06
11136	3.63506	3.94218	-2.01785e-08
11264	3.70852	4.03744	1.09917e-07
11392	3.74751	4.13383	1.82832e-06
11520	3.78667	4.26001	-7.5351e-07
11648	3.82133	4.36047	-1.18499e-06
11776	3.86181	4.38387	-4.53641e-08
11904	3.95967	4.47348	-1.92001e-06
12032	4.0372	4.54623	3.97445e-06
12160	4.11287	4.59706	-3.20065e-06
12288	4.15645	4.64898	-8.89111e-07
12416	4.21196	4.7294	-3.16574e-06
12544	4.29347	4.87983	2.03916e-06
12672	4.35179	5.02263	1.23353e-06
12800	4.36585	5.09912	-1.07654e-06
12928	4.41268	5.19358	-3.19678e-06
13056	4.45563	5.22739	5.03228e-08
13184	4.47598	5.27645	-2.63685e-06
13312	4.46637	5.3077	-5.43509e-06
13440	4.44414	5.32691	-1.28016e-07
13568	4.40544	5.33976	-2.51689e-06
13696	4.33812	5.21814	-7.52317e-07
13824	4.31346	5.11962	-3.24494e-06
13952	4.27393	5.0279	-8.09417e-06
14080	4.2457	4.97086	-3.27221e-06
14208	4.26041	4.95014	-5.66577e-06
14336	4.29482	4.98657	-7.59705e-06
14464	4.25385	4.89539	-7.06211e-06
14592	4.24873	4.85935	-5.76835e-06
14720	4.28558	4.94382	-2.83998e-07
14848	4.34691	5.01256	-2.9795e-06
14976	4.38862	5.04817	1.85241e-07
15104	4.42597	5.09435	5.9281e-08
15232	4.42525	5.06068	2.83614e-06
15360	4.41709	5.02613	4.34721e-07
15488	4.46939	5.05068	-2.02872e-06
15616	4.55836	5.11509	-5.17828e-06
15744	4.5946	5.09353	-6.11903e-06
15872	4.62603	5.06806	-6.7174e-06
16000	4.66949	5.12896	1.3643e-06
16128	4.66513	5.19669	2.16629e-06
16256	4.60809	5.16467	-3.73591e-07
16384	4.57246	5.12358	-1.65922e-06
16512	4.5289	5.09426	-4.4511e-06
16640	4.53289	5.10348	1.16336e-07
16768	4.52526	5.05916	-2.49019e-06
16896	4.52274	5.07746	-2.36296e-06
17024	4.50873	5.01041	3.59683e-06
17152	4.50857	4.90306	-3.23934e-06
17280	4.50715	4.81276	-3.33588e-06
17408	4.49217	4.69201	-2.55666e-06
17536	4.4883	4.6355	-2.75153e-06
17664	4.48899	4.64741	3.02837e-06
17792	4.50039	4.71564	-3.23235e-07
17920	4.44506	4.64814	-4.24901e-07
18048	4.4035	4.56836	-3.36935e-06
18176	4.39393	4.59775	-4.61681e-06
18304	4.3706	4.67179	1.13215e-06
18432	4.37442	4.72916	-3.8097e-06
18560	4.39335	4.71442	-4.27187e-06
18688	4.35923	4.65192	-5.31697e-06
18816	4.33598	4.70985	-1.61046e-06
18944	4.29378	4.72742	2.84023e-06
19072	4.26424	4.71017	3.49296e-06
19200	4.2622	4.74012	3.72055e-07
19328	4.29759	4.83996	2.67544e-06
19456	4.33498	4.92743	-3.5356e-06
19584	4.38798	4.97468	-1.57782e-06
19712	4.40738	4.96025	-3.9467e-06
19840	4.39313	4.89431	-1.23198e-06
19968	4.38258	4.84784	4.66302e-07
20096	4.41633	4.84457	-8.60528e-07
20224	4.48631	4.95686	-2.48463e-06
20352	4.48392	5.00935	-4.17223e-06
20480	4.47849	5.05537	-9.44289e-07
20608	4.43643	5.01302	4.39077e-07
20736	4.43476	4.97466	-1.35473e-06
20864	4.48685	5.02093	-3.26138e-06
20992	4.48633	5.06351	1.18783e-06
21120	4.50687	5.07856	2.84565e-06
21248	4.52605	4.97983	3.96312e-06
21376	4.55011	4.92336	-1.9676e-06
21504	4.60843	4.96718	-1.53647e-06
21632	4.7094	5.05788	-5.22796e-06
21760	4.86764	5.25314	-5.76303e-06
21888	5.05395	5.43688	-4.76995e-06
22016	5.18237	5.53921	-5.95178e-06
22144	5.34418	5.7347	-2.38665e-06
22272	5.44633	5.88098	1.25404e-07
22400	5.53355	5.99965	2.03497e-06
22528	5.54229	6.04762	3.4415e-06
22656	5.55688	6.06314	1.10512e-06
22784	5.59397	6.05307	1.99762e-07
22912	5.64489	6.14017	2.89324e-06
23040	5.69691	6.26394	1.3458e-06
23168	5.76072	6.42008	3.47228e-06
23296	5.77427	6.40676	2.51281e-06
23424	5.73674	6.30103	2.41933e-07
23552	5.74246	6.3629	1.35591e-08
23680	5.79595	6.52592	-4.36955e-07
23808	5.81575	6.62986	-5.28705e-07
23936	5.80987	6.69598	-4.16297e-06
24064	5.79806	6.69743	5.42746e-07
24192	5.78241	6.60736	5.57614e-06
24320	5.79787	6.56164	-3.01332e-06
24448	5.89826	6.62558	-4.49395e-06
24576	5.96268	6.64452	-4.3645e-07
24704	5.99413	6.74159	1.74488e-06
24832	6.04027	6.93003	1.55438e-06
24960	6.0336	7.0009	-2.03346e-06
25088	6.02837	7.05765	-9.96871e-07
25216	6.02593	7.12016	-1.56641e-06
25344	6.05536	7.18264	1.041e-06
25472	6.04745	7.18893	1.59254e-06
25600	5.98815	7.08179	1.54107e-06
25728	5.91721	6.94794	2.16448e-06
25856	5.85012	6.86714	3.35231e-06
25984	5.80443	6.81152	2.16965e-06
26112	5.78042	6.77267	-3.16695e-07
26240	5.74394	6.72213	4.03475e-06
26368	5.69742	6.64222	6.02841e-06
26496	5.65913	6.49817	3.48253e-06
26624	5.65557	6.43464	1.10857e-07
26752	5.63365	6.3393	3.00297e-06
26880	5.55753	6.22146	4.14354e-06
27008	5.50739	6.11209	-1.46212e-07
27136	5.4839	6.08241	3.67e-06
27264	5.46494	6.07224	-4.41028e-06
27392	5.45504	6.08695	-3.23566e-06
27520	5.47619	6.16005	-1.74243e-06
27648	5.52708	6.28716	-2.51873e-06
27776	5.55995	6.31279	3.77083e-06
27904	5.54606	6.29849	4.40874e-06
28032	5.52787	6.28597	-1.43234e-06
28160	5.51268	6.25937	3.46483e-06
28288	5.51112	6.20275	1.59314e-06
28416	5.52002	6.14949	-2.20301e-06
28544	5.51479	6.08561	7.84535e-07
28672	5.59616	6.08289	8.16513e-07
28800	5.65133	6.09029	7.69843e-07
28928	5.70832	6.10989	8.2152e-06
29056	5.77915	6.13112	6.72293e-06
29184	5.84638	6.16739	6.46441e-06
29312	5.87422	6.17084	7.65259e-06
29440	5.89218	6.20346	5.11587e-06
29568	5.9084	6.22062	2.67929e-06
29696	5.91469	6.23183	2.40866e-06
29824	5.90536	6.25105	3.22461e-06
29952	5.87415	6.29054	4.50923e-06
30080	5.89347	6.33249	-7.98887e-07
30208	5.84495	6.29756	-1.87102e-06
30336	5.79534	6.31437	-5.23454e-06
30464	5.75596	6.36845	2.60359e-07
30592	5.75127	6.47702	-2.82851e-07
30720	5.73753	6.53225	-1.22363e-06
30848	5.74299	6.5914	-5.47401e-07
30976	5.73453	6.61419	1.80896e-06
31104	5.76225	6.68101	-2.15801e-06
31232	5.74672	6.7027	2.73136e-07
31360	5.72103	6.70307	-1.12107e-06
31488	5.73595	6.76627	3.72572e-06
31616	5.76569	6.82352	3.03526e-06
31744	5.77255	6.84524	1.73971e-06
31872	5.79475	6.87301	-1.31546e-06
32000	5.8395	6.92207	-4.11334e-06
