0	-nan	-nan	-nan
128	0.178486	0.230034	0.000320897
256	0.61811	0.75728	0.000191588
384	1.28964	1.55835	0.000173398
512	1.91678	2.41378	9.41785e-05
640	2.53157	3.20131	0.000111818
768	3.06349	3.90386	0.000103239
896	3.83113	4.85656	9.16536e-05
1024	4.78209	5.94953	-4.22746e-05
1152	5.6692	7.05786	1.60729e-05
1280	6.51744	7.84312	-2.20211e-05
1408	7.38477	8.78498	4.8302e-05
1536	8.36647	9.87666	6.22718e-05
1664	9.41119	11.2267	0.00012799
1792	10.4481	12.757	1.95226e-05
1920	11.4345	13.991	0.000142179
2048	12.7259	15.386	6.63526e-05
2176	14.067	16.8599	1.89598e-05
2304	15.1242	18.0139	1.99944e-05
2432	15.5107	18.2497	-4.45243e-05
2560	16.1222	19.1723	7.6341e-05
2688	16.4188	19.9635	5.28194e-05
2816	16.4328	20.5032	7.75919e-05
2944	16.8591	21.6381	4.57506e-05
3072	17.6219	24.0643	-3.58643e-06
3200	18.6557	26.4415	3.29605e-06
3328	19.4447	27.5333	-7.28315e-05
3456	20.3052	28.7249	-7.27138e-06
3584	20.679	29.157	-3.68541e-05
3712	20.8441	29.2168	-4.9275e-05
3840	21.1158	29.66	-2.41973e-05
3968	21.3514	29.7917	3.45443e-05
4096	21.9401	31.3313	-4.10645e-05
4224	22.2641	32.7866	1.35888e-05
4352	23.1512	35.2927	0.000170508
4480	24.2693	38.2481	7.63532e-05
4608	25.4483	41.3682	3.22666e-05
4736	26.5202	43.3798	0.000128705
4864	27.7068	45.2951	3.56313e-05
4992	28.3765	46.2409	-3.52987e-05
5120	28.5066	45.3593	5.51257e-05
5248	28.7757	44.4562	3.35859e-05
5376	29.2454	43.9887	0.000122091
5504	29.8587	44.4076	4.41722e-05
5632	30.9657	45.8045	-2.22539e-05
5760	31.3343	46.7619	8.69804e-05
5888	31.1736	46.3017	2.86156e-06
6016	31.3566	45.9564	-0.000132632
6144	31.0205	45.688	-5.81704e-05
6272	30.6446	45.6055	-7.69403e-05
6400	30.1587	44.6427	-0.000114422
6528	30.4646	44.3061	-5.61329e-05
6656	30.7115	44.048	-4.54232e-05
6784	30.005	41.9435	-0.000128207
6912	28.8674	39.742	-1.04089e-05
