0	-nan	-nan	-nan
128	1.27517e-06	1.80203e-06	1.01899e-09
256	2.34678e-06	3.21921e-06	1.61485e-09
384	4.56916e-06	5.26963e-06	-1.0822e-09
512	6.31765e-06	7.41766e-06	-1.53502e-09
640	6.98047e-06	8.24933e-06	-1.08169e-09
768	7.11986e-06	7.91802e-06	4.47808e-10
896	7.65551e-06	8.57556e-06	7.259e-10
1024	7.68917e-06	9.25942e-06	5.40728e-10
1152	8.39881e-06	8.77123e-06	-1.49397e-10
1280	9.37632e-06	9.9363e-06	2.72706e-10
1408	8.86256e-06	1.0173e-05	1.70152e-09
1536	9.20545e-06	1.09548e-05	-5.41443e-10
1664	9.14061e-06	1.11759e-05	-1.1056e-09
1792	1.02987e-05	1.22137e-05	3.98748e-10
1920	1.20497e-05	1.62896e-05	-4.97853e-10
2048	1.42446e-05	2.04454e-05	4.54583e-10
2176	1.55786e-05	2.1696e-05	1.1821e-09
2304	1.80144e-05	2.60105e-05	1.11397e-10
2432	1.94106e-05	2.64281e-05	1.532e-10
2560	1.90194e-05	2.33215e-05	-1.52827e-09
2688	1.82337e-05	2.11348e-05	-9.71776e-11
2816	1.74202e-05	2.07743e-05	7.57678e-10
2944	1.68073e-05	2.13269e-05	1.84324e-09
3072	1.64839e-05	1.96739e-05	1.1314e-10
3200	1.58556e-05	1.95988e-05	-1.23214e-09
3328	1.53662e-05	1.95125e-05	7.77197e-10
3456	1.55893e-05	1.94246e-05	-8.7408e-10
3584	1.73594e-05	2.22634e-05	-1.18275e-11
3712	1.99286e-05	2.38495e-05	-2.63339e-10
3840	2.27094e-05	2.64522e-05	1.10606e-09
3968	2.44294e-05	2.83957e-05	8.04907e-10
4096	2.60992e-05	3.11885e-05	2.86588e-09
4224	2.58229e-05	2.90386e-05	8.83242e-10
4352	2.64419e-05	2.88678e-05	1.30921e-09
4480	2.8337e-05	3.08136e-05	4.6103e-10
4608	2.68345e-05	2.94841e-05	-2.15102e-09
4736	2.57847e-05	2.81367e-05	-1.07911e-09
4864	2.57866e-05	2.79503e-05	-5.51816e-10
4992	2.42476e-05	2.6743e-05	-1.64345e-09
5120	2.20159e-05	2.34808e-05	-1.38719e-09
5248	2.19407e-05	2.39922e-05	1.41254e-09
5376	2.34703e-05	2.3917e-05	-2.82641e-10
5504	2.42695e-05	2.3794e-05	4.56076e-10
5632	2.42544e-05	2.51241e-05	7.22784e-11
5760	2.55371e-05	2.96137e-05	1.09294e-09
5888	2.48744e-05	2.81603e-05	-2.16259e-09
6016	2.32212e-05	2.5932e-05	1.57378e-09
6144	2.13186e-05	2.39739e-05	-1.9334e-09
6272	1.84744e-05	2.0605e-05	-1.48436e-09
6400	1.8206e-05	2.10885e-05	-1.30817e-09
6528	1.58001e-05	1.79813e-05	-1.52946e-09
6656	1.66638e-05	1.89479e-05	-1.19092e-10
6784	1.57807e-05	1.76492e-05	1.11436e-09
6912	1.40357e-05	1.50174e-05	-6.46656e-10
7040	1.30058e-05	1.4226e-05	3.64948e-10
7168	1.31825e-05	1.45979e-05	1.63949e-10
7296	1.41973e-05	1.78553e-05	1.60027e-11
7424	1.52223e-05	1.97895e-05	7.17699e-10
7552	1.44025e-05	1.74005e-05	5.63413e-10
7680	1.44028e-05	1.80137e-05	-4.18694e-10
7808	1.51749e-05	1.92038e-05	4.36998e-10
7936	1.5721e-05	2.01916e-05	2.05716e-09
8064	1.75264e-05	2.1791e-05	8.03619e-10
8192	1.82897e-05	2.41219e-05	4.60073e-11
8320	1.72479e-05	2.36044e-05	4.02993e-10
8448	1.66495e-05	2.18467e-05	-1.33928e-09
8576	1.9056e-05	2.24229e-05	4.66733e-10
8704	2.10529e-05	2.33118e-05	8.1817e-10
8832	1.99039e-05	2.2332e-05	5.32153e-10
8960	1.75593e-05	2.07892e-05	-1.52412e-09
9088	1.73096e-05	2.05139e-05	-1.35697e-09
9216	1.55171e-05	1.97099e-05	-4.74109e-10
9344	1.3995e-05	1.78941e-05	6.18612e-10
9472	1.32214e-05	1.61778e-05	8.34345e-10
9600	1.43716e-05	1.79241e-05	9.95117e-10
9728	1.51582e-05	1.9012e-05	3.78253e-10
9856	1.4885e-05	1.83797e-05	-1.39824e-09
9984	1.35647e-05	1.6403e-05	-1.77375e-09
10112	1.42765e-05	1.81319e-05	3.50378e-10
10240	1.66698e-05	2.19457e-05	-5.7871e-10
10368	1.69751e-05	2.32848e-05	-5.36121e-11
10496	1.75127e-05	2.30404e-05	-5.81036e-10
10624	1.57042e-05	2.04713e-05	-7.98074e-10
10752	1.47397e-05	2.07471e-05	-3.69688e-10
10880	1.4542e-05	2.10762e-05	-2.43391e-10
11008	1.39252e-05	2.10108e-05	-1.08076e-09
11136	1.31544e-05	1.98215e-05	-2.4004e-10
11264	1.36696e-05	1.97532e-05	-7.17943e-10
11392	1.473e-05	1.99013e-05	-1.43356e-09
11520	1.68645e-05	2.37115e-05	9.86177e-10
11648	1.86157e-05	2.42001e-05	-1.38273e-09
11776	1.85263e-05	2.29943e-05	-1.01764e-09
11904	1.78998e-05	2.21928e-05	9.6834e-10
12032	1.94819e-05	2.44169e-05	6.9405e-10
12160	1.92834e-05	2.32691e-05	7.80609e-10
12288	1.92224e-05	2.16032e-05	2.48696e-10
12416	1.99381e-05	2.09939e-05	9.1883e-10
12544	2.01963e-05	2.09674e-05	-9.03975e-10
12672	2.05729e-05	2.18639e-05	-1.26068e-09
12800	2.03795e-05	2.09306e-05	-7.67017e-10
12928	2.04616e-05	2.17663e-05	3.69016e-10
13056	1.95412e-05	2.16103e-05	6.94603e-10
13184	1.83649e-05	2.03268e-05	-1.11929e-09
13312	1.91751e-05	2.14357e-05	-2.73927e-11
13440	1.97968e-05	2.30208e-05	-1.33833e-09
13568	2.20472e-05	2.60818e-05	3.47119e-10
13696	2.41929e-05	2.97284e-05	-2.6986e-12
13824	2.63052e-05	3.09415e-05	1.00907e-09
13952	2.72363e-05	3.36216e-05	-1.48154e-10
14080	2.59977e-05	3.31247e-05	9.24715e-10
14208	2.52266e-05	3.45076e-05	9.45436e-10
14336	2.57642e-05	3.34386e-05	1.13504e-09
14464	2.73022e-05	3.33399e-05	5.72724e-10
14592	2.8163e-05	3.39786e-05	-1.67532e-09
14720	3.02973e-05	3.73951e-05	8.92874e-10
14848	3.08854e-05	3.88637e-05	1.40645e-10
14976	3.0046e-05	3.71049e-05	6.38768e-11
15104	2.85249e-05	3.54005e-05	-1.7295e-09
15232	2.50561e-05	3.05373e-05	5.07676e-10
15360	2.48306e-05	2.86595e-05	1.49828e-09
15488	2.50594e-05	2.70365e-05	-3.34667e-10
15616	2.74568e-05	3.08518e-05	3.05533e-10
15744	3.21544e-05	3.57259e-05	-6.18869e-10
15872	3.23595e-05	3.67062e-05	8.77845e-10
16000	2.98784e-05	3.53815e-05	-1.26145e-09
16128	3.08954e-05	3.57073e-05	3.5385e-10
16256	3.1968e-05	3.66266e-05	5.21317e-10
16384	3.50504e-05	3.73351e-05	-1.06083e-09
16512	3.73886e-05	3.92758e-05	-9.17199e-10
16640	3.89822e-05	4.02885e-05	-1.58307e-10
16768	3.86517e-05	3.9527e-05	6.08479e-10
16896	4.04459e-05	4.21e-05	3.26391e-10
17024	4.27202e-05	4.36348e-05	-5.9505e-10
17152	4.32026e-05	4.24776e-05	-1.38342e-09
17280	4.24957e-05	4.21637e-05	1.43414e-09
17408	4.08468e-05	4.1388e-05	6.77756e-10
17536	3.69011e-05	3.9071e-05	1.22153e-10
17664	3.76943e-05	3.93286e-05	6.50806e-10
17792	4.04521e-05	4.10772e-05	9.6201e-10
17920	4.21944e-05	4.36441e-05	9.38314e-11
18048	4.26304e-05	4.26864e-05	-2.17751e-10
18176	4.16528e-05	4.31207e-05	-5.17422e-11
18304	4.10583e-05	4.41682e-05	6.84646e-10
18432	4.0057e-05	4.26411e-05	-5.70924e-10
18560	3.94457e-05	4.10262e-05	7.47714e-10
18688	3.83769e-05	3.98746e-05	-1.5812e-09
18816	3.39777e-05	3.65559e-05	-1.59416e-09
18944	2.99819e-05	3.59661e-05	-1.15488e-09
19072	2.95534e-05	3.83688e-05	-9.80806e-10
19200	2.80122e-05	3.73474e-05	3.5662e-10
19328	2.81655e-05	3.91465e-05	1.14316e-09
19456	2.69008e-05	4.11772e-05	-4.70472e-10
19584	2.46101e-05	3.96378e-05	-1.2993e-09
19712	2.36994e-05	3.94228e-05	5.35893e-10
19840	2.12166e-05	3.68003e-05	2.21445e-10
19968	2.03475e-05	3.6959e-05	-6.08154e-10
20096	1.8458e-05	3.41888e-05	1.27829e-09
20224	1.65485e-05	3.14915e-05	2.50054e-09
20352	1.52761e-05	3.07505e-05	1.47439e-09
20480	1.61742e-05	3.20885e-05	1.21058e-09
20608	1.74788e-05	3.31803e-05	6.05533e-10
20736	1.56477e-05	3.13244e-05	1.88785e-10
20864	1.3671e-05	2.90897e-05	-2.66051e-09
20992	1.35072e-05	2.65705e-05	5.62778e-10
21120	1.45183e-05	2.74733e-05	3.72475e-10
21248	1.55521e-05	2.85362e-05	-5.37202e-10
21376	1.59279e-05	2.82989e-05	7.25103e-10
21504	1.54414e-05	2.81991e-05	1.33355e-09
21632	1.6849e-05	3.07085e-05	8.45566e-10
21760	1.74831e-05	3.14696e-05	1.31648e-10
21888	1.87784e-05	3.16207e-05	1.86222e-09
22016	1.9811e-05	3.21932e-05	-8.50603e-10
