0	-nan	-nan	-nan
128	0.00248109	0.00263754	1.67825e-05
256	0.00385781	0.00421738	-2.64726e-05
384	0.00480801	0.00545202	5.21038e-06
512	0.00551745	0.00640455	7.26695e-06
640	0.00636667	0.00749571	-3.86224e-06
768	0.0073834	0.00852419	7.61236e-06
896	0.00787097	0.00893347	2.43723e-05
1024	0.00844338	0.00979794	9.63677e-06
1152	0.00865889	0.0101006	-8.42258e-07
1280	0.0093432	0.0111666	1.38392e-05
1408	0.00984537	0.0116133	-1.21827e-05
1536	0.0104188	0.0120979	-3.83837e-05
1664	0.0114291	0.0134433	-2.52162e-06
1792	0.0117306	0.013475	7.67662e-06
1920	0.0125829	0.0144156	1.97542e-05
2048	0.0129271	0.0144212	-1.32313e-05
2176	0.0132261	0.0147994	-3.15434e-06
2304	0.0129973	0.01452	-5.91995e-06
2432	0.0135896	0.0151928	-7.37312e-06
2560	0.0137235	0.0156134	4.5601e-06
2688	0.0134894	0.0157769	-1.15522e-05
2816	0.0136932	0.0168425	-1.39507e-05
2944	0.014152	0.017234	2.82795e-06
3072	0.0140662	0.0170294	-1.13483e-05
3200	0.0140293	0.0178895	-1.10423e-05
3328	0.0149283	0.0191317	-2.67196e-05
3456	0.0152851	0.0189748	-1.68185e-05
3584	0.0153999	0.0197054	1.49656e-05
3712	0.0153071	0.0196197	-1.94506e-06
3840	0.0151804	0.0186014	6.06871e-06
3968	0.0146791	0.0188966	-1.197e-05
4096	0.015818	0.0197873	-2.45665e-05
4224	0.0158379	0.0198878	-1.86595e-05
4352	0.0156936	0.0190647	1.13102e-05
4480	0.0153009	0.0191434	-1.32129e-05
4608	0.015492	0.0192806	-2.55017e-05
4736	0.015323	0.0192794	1.06392e-05
4864	0.0153695	0.0192976	1.21917e-05
4992	0.0159027	0.0195548	-7.31824e-06
5120	0.0154352	0.0183122	-1.00473e-05
5248	0.0149007	0.0174667	-1.17558e-05
5376	0.0159334	0.0184701	1.27185e-05
5504	0.0162373	0.0186316	-1.03381e-05
5632	0.0159177	0.0189555	2.17278e-06
5760	0.0156151	0.0184764	2.35617e-05
5888	0.0159209	0.0188057	9.68953e-06
6016	0.0157351	0.0186048	-1.97963e-06
6144	0.0157359	0.0189057	1.89545e-05
6272	0.0156468	0.0186797	-3.01865e-06
6400	0.0156049	0.0190245	-1.20295e-05
6528	0.015651	0.0200812	-2.98259e-06
6656	0.0160746	0.0209137	9.4851e-06
6784	0.0157169	0.0201365	-6.56561e-06
6912	0.0159584	0.0200651	-3.52129e-06
7040	0.0162176	0.020521	8.55954e-06
7168	0.0161071	0.0205989	6.7087e-06
7296	0.0165013	0.0216109	5.75988e-06
7424	0.0165778	0.0215507	1.96487e-05
7552	0.0166601	0.0209484	-1.41824e-05
7680	0.016731	0.021043	5.78152e-07
7808	0.0164638	0.0206342	-1.7224e-06
7936	0.0171203	0.0216435	2.72008e-05
8064	0.0174576	0.0223786	-6.7565e-06
8192	0.0176564	0.0231308	-2.83251e-05
8320	0.0176405	0.0231992	-2.95533e-05
