0	-nan	-nan	-nan
128	0.000820575	0.00114494	8.75865e-07
256	0.00165563	0.00224489	6.88469e-07
384	0.00304908	0.00388871	-7.08095e-07
512	0.00450103	0.00556684	-7.24533e-07
640	0.0054709	0.0069666	-8.87745e-07
768	0.00597806	0.00730253	3.80839e-07
896	0.00718609	0.00846449	6.94088e-07
1024	0.00791936	0.00940466	5.41762e-07
1152	0.00916619	0.0104428	-1.41749e-07
1280	0.0108232	0.0114443	2.22781e-07
1408	0.0108626	0.011213	1.46997e-06
1536	0.0115189	0.0115909	-7.21204e-08
1664	0.011388	0.0107341	-3.42786e-07
1792	0.0118187	0.0114191	-3.14377e-08
1920	0.0121187	0.0116995	1.43541e-08
2048	0.0125081	0.011758	4.66073e-08
2176	0.0130129	0.0116628	5.76216e-08
2304	0.0143448	0.0129872	-7.81491e-09
2432	0.0154319	0.0139538	-6.48159e-08
2560	0.0167746	0.0154184	-3.35024e-07
2688	0.0169868	0.0162698	-4.88285e-07
2816	0.0167369	0.0163119	3.80764e-07
2944	0.0164068	0.0159671	7.68996e-07
3072	0.0166736	0.0164905	4.53962e-08
3200	0.0165953	0.0174044	-6.15551e-07
3328	0.0162805	0.0171389	1.35147e-07
3456	0.0172892	0.0181253	-3.47709e-07
3584	0.019373	0.0202852	-8.56954e-08
3712	0.0207285	0.0213899	-7.98967e-07
3840	0.0215253	0.0219849	-2.01427e-08
3968	0.0228986	0.0236401	2.16421e-07
4096	0.0237913	0.0242799	1.04149e-06
4224	0.0251649	0.0248996	8.54623e-07
4352	0.0262078	0.0246977	9.43704e-07
4480	0.0281226	0.0264046	4.16416e-07
4608	0.0287733	0.0264995	-2.87305e-07
4736	0.0283312	0.0257708	-5.86342e-07
4864	0.0290033	0.0270976	-4.11358e-08
4992	0.0301378	0.0284713	-5.94441e-07
5120	0.0293305	0.0276075	-3.97832e-07
5248	0.0296518	0.0272528	5.87481e-07
5376	0.0306181	0.0280089	-2.22767e-07
5504	0.0321112	0.0283336	-1.53646e-07
5632	0.0316813	0.0279586	8.04858e-08
5760	0.0330192	0.0307874	6.83901e-07
5888	0.0334808	0.0320697	-5.38088e-07
6016	0.0342136	0.0328728	5.94278e-07
6144	0.0342496	0.0323952	-6.06159e-07
6272	0.0336515	0.0318842	-5.0113e-07
6400	0.0346171	0.034235	-9.81791e-07
6528	0.0333017	0.0340061	-3.27242e-07
6656	0.034513	0.0347678	8.03603e-09
6784	0.0347976	0.0355156	1.40171e-07
6912	0.032274	0.0345003	-5.96296e-07
7040	0.0317264	0.0333516	3.77202e-07
7168	0.0339827	0.0358054	3.71477e-08
7296	0.0370131	0.0398312	2.32168e-07
7424	0.0382534	0.039729	2.50425e-07
7552	0.0372482	0.0368078	-2.47882e-08
7680	0.0368191	0.0351258	-1.28495e-07
7808	0.0368256	0.0348741	2.37075e-08
7936	0.0372872	0.0351085	1.57622e-07
8064	0.0391214	0.03654	2.46756e-07
8192	0.0389189	0.0358563	1.97598e-07
8320	0.035867	0.033274	-2.53292e-07
8448	0.0351877	0.0321168	-5.15389e-07
8576	0.0370229	0.0342381	-6.05167e-07
8704	0.0376883	0.0349074	3.4653e-07
8832	0.0378353	0.034871	-3.13568e-07
8960	0.037531	0.0345237	-1.18861e-07
9088	0.0377382	0.0355599	-6.63297e-07
9216	0.0378858	0.0355565	8.71231e-08
